# This is a continuation of trace file /D216/EDT/projects/Услуги/.metadata/trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2023-03-04 10:30:22.096
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.105 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.settings.impl.SettingsParameterValueImpl@4bf4c6d4 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.105 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.105 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.core.impl.DataCompositionParameterImpl@f06b0dd5 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.105 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.105 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.mcore.impl.LocalStringMapEntryImpl@7260d6d7 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.105 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.106 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.mcore.impl.DateQualifiersImpl@f552e3d8 |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.106 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.106 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.dcs.model.settings.impl.SettingsParameterValueImpl@5f31055a |
| Worker-17: Экспорт ресурсов проекта: Конфигурация | 2023-03-04 10:30:22.106 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Top object extracted: com._1c.g5.v8.dt.metadata.mdclass.impl.TemplateImpl@8aaef95a |
